MUNICIPIO;QUANTIDADE
220557 Lagoa de São Francisco;60
220556 Lagoa do Barro do Piauí;66
220558 Lagoa do Piauí;32
220559 Lagoa do Sítio;46
220554 Lagoinha do Piauí;29
220560 Landri Sales;60
220570 Luís Correia;268
220580 Luzilândia;236
220585 Madeiro;58
220590 Manoel Emídio;75
220595 Marcolândia;85
220600 Marcos Parente;37
220605 Massapê do Piauí;50
220610 Matias Olímpio;81
220620 Miguel Alves;261
220630 Miguel Leão;22
220635 Milton Brandão;60
220640 Monsenhor Gil;100
220650 Monsenhor Hipólito;73
220660 Monte Alegre do Piauí;94
220665 Morro Cabeça no Tempo;40
220667 Morro do Chapéu do Piauí;51
220669 Murici dos Portelas;58
220670 Nazaré do Piauí;61
220672 Nazária;72
220675 Nossa Senhora de Nazaré;43
220680 Nossa Senhora dos Remédios;63
220795 Nova Santa Rita;37
220690 Novo Oriente do Piauí;69
220695 Novo Santo Antônio;32
220700 Oeiras;575
220710 Olho D'Água do Piauí;23
220720 Padre Marcos;55
220730 Paes Landim;59
220735 Pajeú do Piauí;41
220740 Palmeira do Piauí;44
220750 Palmeirais;135
220755 Paquetá;37
220760 Parnaguá;117
220770 Parnaíba;1875
220775 Passagem Franca do Piauí;39
220777 Patos do Piauí;51
220779 Pau D'Arco do Piauí;48
220780 Paulistana;371
220785 Pavussu;34
220790 Pedro II;362
220793 Pedro Laurentino;28
220800 Picos;1600
220810 Pimenteiras;116
220820 Pio IX;136
220830 Piracuruca;240
220840 Piripiri;873
220850 Porto;114
220855 Porto Alegre do Piauí;33
220860 Prata do Piauí;33
220865 Queimada Nova;69
220870 Redenção do Gurguéia;70
220880 Regeneração;211
220885 Riacho Frio;42
220887 Ribeira do Piauí;34
220890 Ribeiro Gonçalves;88
220900 Rio Grande do Piauí;67
220910 Santa Cruz do Piauí;76
220915 Santa Cruz dos Milagres;32
220920 Santa Filomena;56
220930 Santa Luz;46
220937 Santa Rosa do Piauí;51
220935 Santana do Piauí;40
220940 Santo Antônio de Lisboa;59
220945 Santo Antônio dos Milagres;21
220950 Santo Inácio do Piauí;42
220955 São Braz do Piauí;33
220960 São Félix do Piauí;39
220965 São Francisco de Assis do Piauí;45
220970 São Francisco do Piauí;71
220975 São Gonçalo do Gurguéia;26
220980 São Gonçalo do Piauí;45
220985 São João da Canabrava;37
220987 São João da Fronteira;46
220990 São João da Serra;73
220995 São João da Varjota;35
220997 São João do Arraial;54
221000 São João do Piauí;310
221005 São José do Divino;53
221010 São José do Peixe;45
221020 São José do Piauí;63
221030 São Julião;52
221035 São Lourenço do Piauí;36
221037 São Luis do Piauí;37
221038 São Miguel da Baixa Grande;21
221039 São Miguel do Fidalgo;33
221040 São Miguel do Tapuio;171
221050 São Pedro do Piauí;131
221060 São Raimundo Nonato;464
221062 Sebastião Barros;36
221063 Sebastião Leal;40
221065 Sigefredo Pacheco;64
221070 Simões;134
221080 Simplício Mendes;185
221090 Socorro do Piauí;56
221093 Sussuapara;47
221095 Tamboril do Piauí;37
221097 Tanque do Piauí;43
221100 Teresina;16421
221110 União;353
221120 Uruçuí;250
221130 Valença do Piauí;293
221135 Várzea Branca;30
221140 Várzea Grande;49
221150 Vera Mendes;25
221160 Vila Nova do Piauí;35
221170 Wall Ferraz;26
230010 Abaiara;112
230015 Acarape;122
230020 Acaraú;569
230030 Acopiara;406
230040 Aiuaba;172
230050 Alcântaras;134
230060 Altaneira;115
230070 Alto Santo;228
230075 Amontada;258
230080 Antonina do Norte;73
230090 Apuiarés;104
230100 Aquiraz;995
230110 Aracati;1088
230120 Aracoiaba;506
230125 Ararendá;133
230130 Araripe;173
230140 Aratuba;118
230150 Arneiroz;72
230160 Assaré;235
230170 Aurora;219
230180 Baixio;89
230185 Banabuiú;255
230190 Barbalha;1263
230195 Barreira;218
230200 Barro;180
230205 Barroquinha;149
230210 Baturité;553
230220 Beberibe;435
230230 Bela Cruz;272
230240 Boa Viagem;318
230250 Brejo Santo;691
230260 Camocim;611
230270 Campos Sales;224
230280 Canindé;679
230290 Capistrano;187
230300 Caridade;159
230310 Cariré;206
230320 Caririaçu;338
230330 Cariús;166
230340 Carnaubal;280
230350 Cascavel;781
230360 Catarina;189
230365 Catunda;132
230370 Caucaia;2229
230380 Cedro;205
230390 Chaval;201
230393 Choró;157
230395 Chorozinho;150
230400 Coreaú;279
230410 Crateús;1122
230420 Crato;1267
230423 Croatá;210
230425 Cruz;382
230426 Deputado Irapuan Pinheiro;120
230427 Ererê;90
230428 Eusébio;807
230430 Farias Brito;271
230435 Forquilha;209
230440 Fortaleza;39312
230445 Fortim;181
230450 Frecheirinha;229
230460 General Sampaio;75
230465 Graça;124
230470 Granja;567
230480 Granjeiro;76
230490 Groaíras;116
230495 Guaiúba;194
230500 Guaraciaba do Norte;356
230510 Guaramiranga;70
230520 Hidrolândia;266
230523 Horizonte;766
230526 Ibaretama;148
230530 Ibiapina;304
230533 Ibicuitinga;118
230535 Icapuí;229
230540 Icó;670
230550 Iguatu;1299
230560 Independência;282
230565 Ipaporanga;145
230570 Ipaumirim;113
230580 Ipu;358
230590 Ipueiras;292
230600 Iracema;193
230610 Irauçuba;245
230620 Itaiçaba;144
230625 Itaitinga;455
230630 Itapagé;427
230640 Itapipoca;1303
230650 Itapiúna;253
230655 Itarema;330
230660 Itatira;292
230670 Jaguaretama;241
230680 Jaguaribara;126
230690 Jaguaribe;392
230700 Jaguaruana;379
230710 Jardim;232
230720 Jati;131
230725 Jijoca de Jericoacoara;207
230730 Juazeiro do Norte;2944
230740 Jucás;203
230750 Lavras da Mangabeira;276
230760 Limoeiro do Norte;639
230763 Madalena;163
230765 Maracanaú;2476
230770 Maranguape;828
230780 Marco;243
230790 Martinópole;105
230800 Massapê;343
230810 Mauriti;324
230820 Meruoca;168
230830 Milagres;254
230835 Milhã;183
230837 Miraíma;88
230840 Missão Velha;266
230850 Mombaça;405
230860 Monsenhor Tabosa;304
230870 Morada Nova;451
230880 Moraújo;104
230890 Morrinhos;169
230900 Mucambo;278
230910 Mulungu;112
230920 Nova Olinda;141
230930 Nova Russas;254
230940 Novo Oriente;281
230945 Ocara;354
230950 Orós;222
230960 Pacajus;596
230970 Pacatuba;529
230980 Pacoti;115
230990 Pacujá;90
231000 Palhano;102
231010 Palmácia;101
231020 Paracuru;311
231025 Paraipaba;342
231030 Parambu;411
231040 Paramoti;114
231050 Pedra Branca;595
231060 Penaforte;106
231070 Pentecoste;478
231080 Pereiro;149
231085 Pindoretama;204
231090 Piquet Carneiro;198
231095 Pires Ferreira;99
231100 Poranga;135
231110 Porteiras;155
231120 Potengi;89
231123 Potiretama;67
231126 Quiterianópolis;283
231130 Quixadá;1013
231135 Quixelô;135
231140 Quixeramobim;1379
231150 Quixeré;200
231160 Redenção;342
231170 Reriutaba;256
231180 Russas;670
231190 Saboeiro;155
231195 Salitre;223
231220 Santa Quitéria;318
231200 Santana do Acaraú;355
231210 Santana do Cariri;148
