MUNICIPIO;QUANTIDADE
220945 Santo Antônio dos Milagres;22
220950 Santo Inácio do Piauí;42
220955 São Braz do Piauí;31
220960 São Félix do Piauí;40
220965 São Francisco de Assis do Piauí;45
220970 São Francisco do Piauí;71
220975 São Gonçalo do Gurguéia;29
220980 São Gonçalo do Piauí;45
220985 São João da Canabrava;37
220987 São João da Fronteira;45
220990 São João da Serra;73
220995 São João da Varjota;35
220997 São João do Arraial;55
221000 São João do Piauí;314
221005 São José do Divino;57
221010 São José do Peixe;43
221020 São José do Piauí;60
221030 São Julião;51
221035 São Lourenço do Piauí;36
221037 São Luis do Piauí;37
221038 São Miguel da Baixa Grande;22
221039 São Miguel do Fidalgo;34
221040 São Miguel do Tapuio;175
221050 São Pedro do Piauí;131
221060 São Raimundo Nonato;465
221062 Sebastião Barros;35
221063 Sebastião Leal;39
221065 Sigefredo Pacheco;65
221070 Simões;134
221080 Simplício Mendes;187
221090 Socorro do Piauí;55
221093 Sussuapara;47
221095 Tamboril do Piauí;34
221097 Tanque do Piauí;43
221100 Teresina;17087
221110 União;349
221120 Uruçuí;253
221130 Valença do Piauí;296
221135 Várzea Branca;30
221140 Várzea Grande;50
221150 Vera Mendes;26
221160 Vila Nova do Piauí;35
221170 Wall Ferraz;26
230010 Abaiara;113
230015 Acarape;123
230020 Acaraú;597
230030 Acopiara;418
230040 Aiuaba;181
230050 Alcântaras;138
230060 Altaneira;113
230070 Alto Santo;247
230075 Amontada;280
230080 Antonina do Norte;72
230090 Apuiarés;110
230100 Aquiraz;1032
230110 Aracati;1099
230120 Aracoiaba;541
230125 Ararendá;138
230130 Araripe;182
230140 Aratuba;122
230150 Arneiroz;74
230160 Assaré;237
230170 Aurora;228
230180 Baixio;95
230185 Banabuiú;266
230190 Barbalha;1327
230195 Barreira;220
230200 Barro;179
230205 Barroquinha;152
230210 Baturité;551
230220 Beberibe;440
230230 Bela Cruz;285
230240 Boa Viagem;321
230250 Brejo Santo;710
230260 Camocim;694
230270 Campos Sales;223
230280 Canindé;699
230290 Capistrano;189
230300 Caridade;154
230310 Cariré;206
230320 Caririaçu;343
230330 Cariús;167
230340 Carnaubal;311
230350 Cascavel;812
230360 Catarina;195
230365 Catunda;138
230370 Caucaia;2324
230380 Cedro;208
230390 Chaval;201
230393 Choró;167
230395 Chorozinho;159
230400 Coreaú;297
230410 Crateús;1133
230420 Crato;1308
230423 Croatá;214
230425 Cruz;386
230426 Deputado Irapuan Pinheiro;122
230427 Ererê;89
230428 Eusébio;842
230430 Farias Brito;272
230435 Forquilha;210
230440 Fortaleza;41942
230445 Fortim;191
230450 Frecheirinha;228
230460 General Sampaio;75
230465 Graça;124
230470 Granja;565
230480 Granjeiro;69
230490 Groaíras;119
230495 Guaiúba;199
230500 Guaraciaba do Norte;359
230510 Guaramiranga;72
230520 Hidrolândia;275
230523 Horizonte;792
230526 Ibaretama;161
230530 Ibiapina;316
230533 Ibicuitinga;124
230535 Icapuí;227
230540 Icó;679
230550 Iguatu;1386
230560 Independência;299
230565 Ipaporanga;150
230570 Ipaumirim;111
230580 Ipu;382
230590 Ipueiras;287
230600 Iracema;193
230610 Irauçuba;250
230620 Itaiçaba;115
230625 Itaitinga;457
230630 Itapagé;451
230640 Itapipoca;1480
230650 Itapiúna;264
230655 Itarema;359
230660 Itatira;291
230670 Jaguaretama;251
230680 Jaguaribara;135
230690 Jaguaribe;394
230700 Jaguaruana;390
230710 Jardim;238
230720 Jati;111
230725 Jijoca de Jericoacoara;208
230730 Juazeiro do Norte;2945
230740 Jucás;204
230750 Lavras da Mangabeira;283
230760 Limoeiro do Norte;700
230763 Madalena;176
230765 Maracanaú;2467
230770 Maranguape;837
230780 Marco;246
230790 Martinópole;105
230800 Massapê;344
230810 Mauriti;329
230820 Meruoca;175
230830 Milagres;269
230835 Milhã;180
230837 Miraíma;92
230840 Missão Velha;290
230850 Mombaça;410
230860 Monsenhor Tabosa;316
230870 Morada Nova;443
230880 Moraújo;107
230890 Morrinhos;170
230900 Mucambo;280
230910 Mulungu;113
230920 Nova Olinda;145
230930 Nova Russas;273
230940 Novo Oriente;288
230945 Ocara;360
230950 Orós;234
230960 Pacajus;568
230970 Pacatuba;540
230980 Pacoti;118
230990 Pacujá;90
231000 Palhano;104
231010 Palmácia;100
231020 Paracuru;325
231025 Paraipaba;350
231030 Parambu;434
231040 Paramoti;113
231050 Pedra Branca;598
231060 Penaforte;107
231070 Pentecoste;488
231080 Pereiro;163
231085 Pindoretama;217
231090 Piquet Carneiro;197
231095 Pires Ferreira;102
231100 Poranga;130
231110 Porteiras;152
231120 Potengi;93
231123 Potiretama;84
231126 Quiterianópolis;286
231130 Quixadá;1049
231135 Quixelô;148
231140 Quixeramobim;1363
231150 Quixeré;230
231160 Redenção;369
231170 Reriutaba;269
231180 Russas;664
231190 Saboeiro;157
231195 Salitre;239
231220 Santa Quitéria;335
231200 Santana do Acaraú;357
