são;QUANTIDADE
171850 Recursolândia;3
171855 Riachinho;5
171865 Rio da Conceição;4
171870 Rio dos Bois;4
171875 Rio Sono;7
171880 Sampaio;4
171884 Sandolândia;3
171886 Santa Fé do Araguaia;7
171888 Santa Maria do Tocantins;3
171889 Santa Rita do Tocantins;4
171890 Santa Rosa do Tocantins;6
171900 Santa Tereza do Tocantins;3
172000 Santa Terezinha do Tocantins;5
172010 São Bento do Tocantins;6
172015 São Félix do Tocantins;4
172020 São Miguel do Tocantins;4
172025 São Salvador do Tocantins;5
172030 São Sebastião do Tocantins;5
172049 São Valério;5
172065 Silvanópolis;7
172080 Sítio Novo do Tocantins;11
172085 Sucupira;4
172090 Taguatinga;8
172093 Taipas do Tocantins;1
172097 Talismã;4
172110 Tocantínia;12
172120 Tocantinópolis;31
172125 Tupirama;3
172130 Tupiratins;4
172208 Wanderlândia;7
172210 Xambioá;12
210005 Açailândia;100
210010 Afonso Cunha;9
210015 Água Doce do Maranhão;9
210020 Alcântara;19
210030 Aldeias Altas;16
210040 Altamira do Maranhão;11
210043 Alto Alegre do Maranhão;16
210047 Alto Alegre do Pindaré;20
210050 Alto Parnaíba;17
210055 Amapá do Maranhão;5
210060 Amarante do Maranhão;42
210070 Anajatuba;25
210080 Anapurus;10
210083 Apicum-Açu;9
210087 Araguanã;11
210090 Araioses;23
210095 Arame;15
210100 Arari;17
210110 Axixá;16
210120 Bacabal;74
210125 Bacabeira;17
210130 Bacuri;12
210135 Bacurituba;8
210140 Balsas;130
210150 Barão de Grajaú;20
210160 Barra do Corda;75
210170 Barreirinhas;28
210177 Bela Vista do Maranhão;12
210173 Belágua;7
210180 Benedito Leite;5
210190 Bequimão;15
210193 Bernardo do Mearim;11
210197 Boa Vista do Gurupi;5
210200 Bom Jardim;28
210203 Bom Jesus das Selvas;25
210207 Bom Lugar;11
210210 Brejo;16
210215 Brejo de Areia;7
210220 Buriti;24
210230 Buriti Bravo;12
210232 Buriticupu;43
210235 Buritirana;10
210237 Cachoeira Grande;7
210240 Cajapió;8
210250 Cajari;13
210255 Campestre do Maranhão;11
210260 Cândido Mendes;11
210270 Cantanhede;14
210275 Capinzal do Norte;12
210280 Carolina;16
210290 Carutapera;17
210300 Caxias;125
210310 Cedral;10
210312 Central do Maranhão;6
210315 Centro do Guilherme;8
210317 Centro Novo do Maranhão;12
210320 Chapadinha;60
210325 Cidelândia;18
210330 Codó;66
210340 Coelho Neto;32
210350 Colinas;45
210355 Conceição do Lago-Açu;7
210360 Coroatá;43
210370 Cururupu;33
210375 Davinópolis;11
210380 Dom Pedro;20
210390 Duque Bacelar;12
210400 Esperantinópolis;18
210405 Estreito;26
210407 Feira Nova do Maranhão;5
210408 Fernando Falcão;10
210409 Formosa da Serra Negra;16
210410 Fortaleza dos Nogueiras;11
210420 Fortuna;11
210430 Godofredo Viana;7
210440 Gonçalves Dias;15
210450 Governador Archer;13
210455 Governador Edison Lobão;18
210460 Governador Eugênio Barros;12
210462 Governador Luiz Rocha;7
210465 Governador Newton Bello;10
210467 Governador Nunes Freire;21
210470 Graça Aranha;10
210480 Grajaú;45
210490 Guimarães;15
210500 Humberto de Campos;16
210510 Icatu;18
210515 Igarapé do Meio;12
210520 Igarapé Grande;8
210530 Imperatriz;462
210535 Itaipava do Grajaú;13
210540 Itapecuru Mirim;38
210542 Itinga do Maranhão;14
210545 Jatobá;10
210547 Jenipapo dos Vieiras;22
210550 João Lisboa;19
210560 Joselândia;17
210565 Junco do Maranhão;5
210570 Lago da Pedra;34
210580 Lago do Junco;8
210594 Lago dos Rodrigues;9
210590 Lago Verde;12
210592 Lagoa do Mato;14
210596 Lagoa Grande do Maranhão;9
210598 Lajeado Novo;6
210600 Lima Campos;16
210610 Loreto;8
210620 Luís Domingues;7
210630 Magalhães de Almeida;11
210632 Maracaçumé;12
210635 Marajá do Sena;8
210637 Maranhãozinho;9
210640 Mata Roma;25
210650 Matinha;13
210660 Matões;21
210663 Matões do Norte;10
210667 Milagres do Maranhão;8
210670 Mirador;16
210675 Miranda do Norte;17
210680 Mirinzal;17
210690 Monção;16
210700 Montes Altos;7
210710 Morros;18
210720 Nina Rodrigues;13
210725 Nova Colinas;8
210730 Nova Iorque;6
210735 Nova Olinda do Maranhão;9
210740 Olho d'Água das Cunhãs;11
210745 Olinda Nova do Maranhão;16
210750 Paço do Lumiar;44
210760 Palmeirândia;26
210770 Paraibano;21
210780 Parnarama;21
210790 Passagem Franca;21
210800 Pastos Bons;27
210805 Paulino Neves;11
210810 Paulo Ramos;9
210820 Pedreiras;45
210825 Pedro do Rosário;17
210830 Penalva;22
210840 Peri Mirim;12
210845 Peritoró;11
210850 Pindaré-Mirim;24
210860 Pinheiro;56
210870 Pio XII;16
210880 Pirapemas;16
210890 Poção de Pedras;17
210900 Porto Franco;28
210905 Porto Rico do Maranhão;6
210910 Presidente Dutra;58
210920 Presidente Juscelino;8
210923 Presidente Médici;6
210927 Presidente Sarney;13
210930 Presidente Vargas;7
210940 Primeira Cruz;13
210945 Raposa;15
210950 Riachão;12
210955 Ribamar Fiquene;9
210960 Rosário;27
210970 Sambaíba;7
210975 Santa Filomena do Maranhão;9
210980 Santa Helena;18
210990 Santa Inês;73
211000 Santa Luzia;35
211003 Santa Luzia do Paruá;15
211010 Santa Quitéria do Maranhão;17
211020 Santa Rita;37
211023 Santana do Maranhão;9
211027 Santo Amaro do Maranhão;12
211030 Santo Antônio dos Lopes;13
211040 São Benedito do Rio Preto;17
211050 São Bento;27
211060 São Bernardo;18
211065 São Domingos do Azeitão;5
211070 São Domingos do Maranhão;26
211080 São Félix de Balsas;6
211085 São Francisco do Brejão;9
211090 São Francisco do Maranhão;12
211100 São João Batista;14
211102 São João do Carú;8
211105 São João do Paraíso;11
211107 São João do Soter;21
211110 São João dos Patos;23
211120 São José de Ribamar;68
211125 São José dos Basílios;12
211130 São Luís;1059
211140 São Luís Gonzaga do Maranhão;18
211150 São Mateus do Maranhão;17
211153 São Pedro da Água Branca;10
211157 São Pedro dos Crentes;12
211160 São Raimundo das Mangabeiras;12
211163 São Raimundo do Doca Bezerra;8
211167 São Roberto;7
211170 São Vicente Ferrer;17
211172 Satubinha;10
211174 Senador Alexandre Costa;9
211176 Senador La Rocque;15
211178 Serrano do Maranhão;10
211180 Sítio Novo;14
211190 Sucupira do Norte;8
211195 Sucupira do Riachão;8
211200 Tasso Fragoso;10
211210 Timbiras;15
211220 Timon;94
211223 Trizidela do Vale;13
211227 Tufilândia;13
211230 Tuntum;35
211240 Turiaçu;20
211245 Turilândia;13
211250 Tutóia;31
211260 Urbano Santos;16
211270 Vargem Grande;25
211280 Viana;38
211285 Vila Nova dos Martírios;11
211290 Vitória do Mearim;18
211300 Vitorino Freire;25
211400 Zé Doca;26
220005 Acauã;6
220010 Agricolândia;10
220020 Água Branca;21
220025 Alagoinha do Piauí;9
220027 Alegrete do Piauí;6
220030 Alto Longá;9
220040 Altos;26
220045 Alvorada do Gurguéia;6
220050 Amarante;25
220060 Angical do Piauí;14
220070 Anísio de Abreu;6
220080 Antônio Almeida;4
220090 Aroazes;8
220095 Aroeiras do Itaim;7
220100 Arraial;10
220105 Assunção do Piauí;10
220110 Avelino Lopes;11
220115 Baixa Grande do Ribeiro;10
220117 Barra D'Alcântara;3
220120 Barras;46
220130 Barreiras do Piauí;4
220140 Barro Duro;7
220150 Batalha;25
220155 Bela Vista do Piauí;4
220157 Belém do Piauí;5
220160 Beneditinos;16
220170 Bertolínia;11
220173 Betânia do Piauí;7
220177 Boa Hora;5
220180 Bocaina;14
220190 Bom Jesus;31
220191 Bom Princípio do Piauí;8
220192 Bonfim do Piauí;4
220194 Boqueirão do Piauí;7
220196 Brasileira;8
220198 Brejo do Piauí;3
220200 Buriti dos Lopes;21
220202 Buriti dos Montes;8
220205 Cabeceiras do Piauí;7
220207 Cajazeiras do Piauí;8
220208 Cajueiro da Praia;6
220209 Caldeirão Grande do Piauí;5
220210 Campinas do Piauí;9
220211 Campo Alegre do Fidalgo;6
220213 Campo Grande do Piauí;6
220217 Campo Largo do Piauí;11
220220 Campo Maior;65
220225 Canavieira;5
220230 Canto do Buriti;19
220240 Capitão de Campos;12
220245 Capitão Gervásio Oliveira;6
220250 Caracol;7
220253 Caraúbas do Piauí;7
220255 Caridade do Piauí;8
220260 Castelo do Piauí;17
220265 Caxingó;6
220270 Cocal;21
220271 Cocal de Telha;7
220272 Cocal dos Alves;4
220273 Coivaras;3
220275 Colônia do Gurguéia;4
220277 Colônia do Piauí;6
220280 Conceição do Canindé;6
220285 Coronel José Dias;5
220290 Corrente;40
220300 Cristalândia do Piauí;11
220310 Cristino Castro;12
220320 Curimatá;11
220323 Currais;7
220327 Curral Novo do Piauí;5
220325 Curralinhos;4
220330 Demerval Lobão;13
220335 Dirceu Arcoverde;7
220340 Dom Expedito Lopes;9
220345 Dom Inocêncio;8
220342 Domingos Mourão;4
220350 Elesbão Veloso;19
220360 Eliseu Martins;7
220370 Esperantina;36
220375 Fartura do Piauí;4
220380 Flores do Piauí;8
220385 Floresta do Piauí;5
220390 Floriano;127
220400 Francinópolis;8
220410 Francisco Ayres;9
220415 Francisco Macedo;4
220420 Francisco Santos;12
220430 Fronteiras;14
220435 Geminiano;9
220440 Gilbués;14
220450 Guadalupe;17
220455 Guaribas;5
220460 Hugo Napoleão;9
220465 Ilha Grande;11
220470 Inhuma;19
220480 Ipiranga do Piauí;18
220490 Isaías Coelho;8
220500 Itainópolis;12
220510 Itaueira;11
220515 Jacobina do Piauí;8
220520 Jaicós;15
220525 Jardim do Mulato;10
220527 Jatobá do Piauí;8
220530 Jerumenha;8
220535 João Costa;7
220540 Joaquim Pires;9
220545 Joca Marques;8
220550 José de Freitas;34
220551 Juazeiro do Piauí;6
220552 Júlio Borges;9
220553 Jurema;7
220555 Lagoa Alegre;7
220557 Lagoa de São Francisco;5
220556 Lagoa do Barro do Piauí;11
220558 Lagoa do Piauí;5
220559 Lagoa do Sítio;13
220554 Lagoinha do Piauí;7
220560 Landri Sales;7
220570 Luís Correia;25
220580 Luzilândia;20
220585 Madeiro;6
220590 Manoel Emídio;11
220595 Marcolândia;9
220600 Marcos Parente;5
220605 Massapê do Piauí;10
220610 Matias Olímpio;7
220620 Miguel Alves;27
220630 Miguel Leão;4
220635 Milton Brandão;8
220640 Monsenhor Gil;16
220650 Monsenhor Hipólito;11
220660 Monte Alegre do Piauí;10
220665 Morro Cabeça no Tempo;6
220667 Morro do Chapéu do Piauí;8
220669 Murici dos Portelas;6
220670 Nazaré do Piauí;14
220672 Nazária;8
220675 Nossa Senhora de Nazaré;5
220680 Nossa Senhora dos Remédios;8
220795 Nova Santa Rita;4
220690 Novo Oriente do Piauí;12
220695 Novo Santo Antônio;9
220700 Oeiras;63
220710 Olho D'Água do Piauí;6
220720 Padre Marcos;11
220730 Paes Landim;4
220735 Pajeú do Piauí;9
220740 Palmeira do Piauí;11
220750 Palmeirais;14
220755 Paquetá;7
220760 Parnaguá;13
220770 Parnaíba;187
220775 Passagem Franca do Piauí;4
220777 Patos do Piauí;5
220779 Pau D'Arco do Piauí;9
220780 Paulistana;34
220785 Pavussu;4
220790 Pedro II;34
220793 Pedro Laurentino;5
220800 Picos;322
220810 Pimenteiras;15
220820 Pio IX;13
220830 Piracuruca;25
220840 Piripiri;84
220850 Porto;10
220855 Porto Alegre do Piauí;4
220860 Prata do Piauí;5
220865 Queimada Nova;10
220870 Redenção do Gurguéia;9
220880 Regeneração;16
220885 Riacho Frio;7
220887 Ribeira do Piauí;6
220890 Ribeiro Gonçalves;9
220900 Rio Grande do Piauí;11
220910 Santa Cruz do Piauí;11
220915 Santa Cruz dos Milagres;5
220920 Santa Filomena;5
220930 Santa Luz;7
220937 Santa Rosa do Piauí;7
220935 Santana do Piauí;6
220940 Santo Antônio de Lisboa;10
220945 Santo Antônio dos Milagres;7
220950 Santo Inácio do Piauí;7
220955 São Braz do Piauí;4
220960 São Félix do Piauí;6
220965 São Francisco de Assis do Piauí;6
220970 São Francisco do Piauí;12
220975 São Gonçalo do Gurguéia;3
220980 São Gonçalo do Piauí;6
220985 São João da Canabrava;6
220987 São João da Fronteira;5
220990 São João da Serra;7
220995 São João da Varjota;9
220997 São João do Arraial;10
221000 São João do Piauí;22
221005 São José do Divino;8
221010 São José do Peixe;7
221020 São José do Piauí;5
221030 São Julião;6
221035 São Lourenço do Piauí;9
221037 São Luis do Piauí;7
221038 São Miguel da Baixa Grande;3
221039 São Miguel do Fidalgo;5
221040 São Miguel do Tapuio;32
221050 São Pedro do Piauí;18
221060 São Raimundo Nonato;39
221062 Sebastião Barros;9
221063 Sebastião Leal;8
221065 Sigefredo Pacheco;7
221070 Simões;17
221080 Simplício Mendes;24
221090 Socorro do Piauí;8
221093 Sussuapara;7
221095 Tamboril do Piauí;5
221097 Tanque do Piauí;7
221100 Teresina;501
221110 União;34
221120 Uruçuí;28
221130 Valença do Piauí;42
221135 Várzea Branca;3
221140 Várzea Grande;6
221150 Vera Mendes;6
221160 Vila Nova do Piauí;7
221170 Wall Ferraz;9
230010 Abaiara;11
230015 Acarape;19
230020 Acaraú;51
230030 Acopiara;37
230040 Aiuaba;12
230050 Alcântaras;12
230060 Altaneira;9
230070 Alto Santo;37
230075 Amontada;18
230080 Antonina do Norte;8
230090 Apuiarés;11
230100 Aquiraz;58
230110 Aracati;79
230120 Aracoiaba;29
230125 Ararendá;12
230130 Araripe;20
230140 Aratuba;15
230150 Arneiroz;8
230160 Assaré;23
230170 Aurora;25
230180 Baixio;7
230185 Banabuiú;19
230190 Barbalha;91
230195 Barreira;17
230200 Barro;22
230205 Barroquinha;13
230210 Baturité;49
230220 Beberibe;27
230230 Bela Cruz;29
230240 Boa Viagem;36
230250 Brejo Santo;95
230260 Camocim;49
230270 Campos Sales;32
230280 Canindé;52
230290 Capistrano;18
230300 Caridade;12
230310 Cariré;18
230320 Caririaçu;24
230330 Cariús;20
230340 Carnaubal;36
230350 Cascavel;41
230360 Catarina;17
230365 Catunda;10
230370 Caucaia;176
230380 Cedro;26
230390 Chaval;12
230393 Choró;16
230395 Chorozinho;21
230400 Coreaú;18
230410 Crateús;79
230420 Crato;203
230423 Croatá;19
230425 Cruz;24
230426 Deputado Irapuan Pinheiro;17
230427 Ererê;6
230428 Eusébio;81
230430 Farias Brito;36
230435 Forquilha;21
230440 Fortaleza;6118
230445 Fortim;13
230450 Frecheirinha;12
230460 General Sampaio;13
230465 Graça;15
230470 Granja;33
230480 Granjeiro;8
230490 Groaíras;12
230495 Guaiúba;18
230500 Guaraciaba do Norte;39
230510 Guaramiranga;7
230520 Hidrolândia;15
230523 Horizonte;45
230526 Ibaretama;15
230530 Ibiapina;28
230533 Ibicuitinga;12
230535 Icapuí;14
230540 Icó;67
230550 Iguatu;133
230560 Independência;35
230565 Ipaporanga;14
230570 Ipaumirim;7
230580 Ipu;42
230590 Ipueiras;22
230600 Iracema;16
230610 Irauçuba;21
230620 Itaiçaba;8
230625 Itaitinga;28
230630 Itapagé;44
230640 Itapipoca;128
230650 Itapiúna;12
230655 Itarema;28
230660 Itatira;19
230670 Jaguaretama;17
230680 Jaguaribara;12
230690 Jaguaribe;47
230700 Jaguaruana;48
230710 Jardim;20
230720 Jati;14
230725 Jijoca de Jericoacoara;21
230730 Juazeiro do Norte;490
230740 Jucás;18
230750 Lavras da Mangabeira;26
230760 Limoeiro do Norte;124
230763 Madalena;13
230765 Maracanaú;151
230770 Maranguape;72
230780 Marco;20
230790 Martinópole;9
230800 Massapê;18
230810 Mauriti;49
230820 Meruoca;17
230830 Milagres;38
230835 Milhã;16
230837 Miraíma;13
230840 Missão Velha;31
230850 Mombaça;28
230860 Monsenhor Tabosa;20
230870 Morada Nova;58
230880 Moraújo;10
230890 Morrinhos;16
230900 Mucambo;14
230910 Mulungu;10
230920 Nova Olinda;16
230930 Nova Russas;20
230940 Novo Oriente;25
230945 Ocara;33
230950 Orós;29
230960 Pacajus;56
230970 Pacatuba;28
230980 Pacoti;21
230990 Pacujá;10
231000 Palhano;7
231010 Palmácia;8
231020 Paracuru;26
231025 Paraipaba;27
231030 Parambu;31
231040 Paramoti;8
231050 Pedra Branca;40
231060 Penaforte;15
231070 Pentecoste;26
231080 Pereiro;15
231085 Pindoretama;19
231090 Piquet Carneiro;13
231095 Pires Ferreira;8
231100 Poranga;11
231110 Porteiras;15
231120 Potengi;13
231123 Potiretama;7
231126 Quiterianópolis;42
231130 Quixadá;133
231135 Quixelô;19
231140 Quixeramobim;67
231150 Quixeré;18
231160 Redenção;35
231170 Reriutaba;16
231180 Russas;82
231190 Saboeiro;14
231195 Salitre;22
231220 Santa Quitéria;28
231200 Santana do Acaraú;17
231210 Santana do Cariri;13
231230 São Benedito;50
231240 São Gonçalo do Amarante;44
231250 São João do Jaguaribe;5
231260 São Luís do Curu;13
231270 Senador Pompeu;32
231280 Senador Sá;6
