MUNICIPIO;QUANTIDADE
220080 Antônio Almeida;3
220090 Aroazes;8
220095 Aroeiras do Itaim;7
220100 Arraial;8
220105 Assunção do Piauí;8
220110 Avelino Lopes;11
220115 Baixa Grande do Ribeiro;8
220117 Barra D'Alcântara;3
220120 Barras;46
220130 Barreiras do Piauí;4
220140 Barro Duro;7
220150 Batalha;25
220155 Bela Vista do Piauí;4
220157 Belém do Piauí;5
220160 Beneditinos;15
220170 Bertolínia;11
220173 Betânia do Piauí;7
220177 Boa Hora;5
220180 Bocaina;14
220190 Bom Jesus;30
220191 Bom Princípio do Piauí;8
220192 Bonfim do Piauí;4
220194 Boqueirão do Piauí;7
220196 Brasileira;9
220198 Brejo do Piauí;3
220200 Buriti dos Lopes;18
220202 Buriti dos Montes;8
220205 Cabeceiras do Piauí;7
220207 Cajazeiras do Piauí;7
220208 Cajueiro da Praia;6
220209 Caldeirão Grande do Piauí;5
220210 Campinas do Piauí;8
220211 Campo Alegre do Fidalgo;6
220213 Campo Grande do Piauí;6
220217 Campo Largo do Piauí;10
220220 Campo Maior;65
220225 Canavieira;5
220230 Canto do Buriti;19
220240 Capitão de Campos;12
220245 Capitão Gervásio Oliveira;6
220250 Caracol;7
220253 Caraúbas do Piauí;7
220255 Caridade do Piauí;8
220260 Castelo do Piauí;17
220265 Caxingó;6
220270 Cocal;20
220271 Cocal de Telha;7
220272 Cocal dos Alves;4
220273 Coivaras;4
220275 Colônia do Gurguéia;5
220277 Colônia do Piauí;6
220280 Conceição do Canindé;6
220285 Coronel José Dias;4
220290 Corrente;40
220300 Cristalândia do Piauí;12
220310 Cristino Castro;12
220320 Curimatá;11
220323 Currais;7
220327 Curral Novo do Piauí;5
220325 Curralinhos;4
220330 Demerval Lobão;13
220335 Dirceu Arcoverde;7
220340 Dom Expedito Lopes;9
220345 Dom Inocêncio;7
220342 Domingos Mourão;4
220350 Elesbão Veloso;19
220360 Eliseu Martins;9
220370 Esperantina;35
220375 Fartura do Piauí;3
220380 Flores do Piauí;8
220385 Floresta do Piauí;4
220390 Floriano;124
220400 Francinópolis;7
220410 Francisco Ayres;8
220415 Francisco Macedo;4
220420 Francisco Santos;12
220430 Fronteiras;14
220435 Geminiano;9
220440 Gilbués;14
220450 Guadalupe;16
220455 Guaribas;2
220460 Hugo Napoleão;9
220465 Ilha Grande;10
220470 Inhuma;18
220480 Ipiranga do Piauí;18
220490 Isaías Coelho;8
220500 Itainópolis;12
220510 Itaueira;11
